gameId,gameDate,personId,teamTricode,priorGames,finishing,shooting,playmaking,defense,rebounding,physical
22400652,2025-01-27,1630243,ORL,24,23.797883362509076,42.44971507777606,56.995990186781015,61.20253164556962,32.83227848101266,55.5
22400678,2025-01-30,1630243,ORL,25,22.388059701492537,45.56789547734432,61.10402187535605,61.71641791044776,31.417910447761194,55.5
22400687,2025-02-01,1630243,ORL,26,24.049586776859506,40.99844116355612,53.87008752658925,63.4297520661157,32.64462809917355,55.5
22400708,2025-02-03,1630243,ORL,27,23.28740157480315,40.10975446716701,53.29609777693451,62.36220472440945,30.708661417322833,55.5
22400727,2025-02-05,1630243,ORL,28,25.84039641681637,40.8260520313094,50.33255417310854,63.77162629757785,30.934256055363324,55.5
22400730,2025-02-06,1630243,ORL,29,21.11801242236025,44.564321548017205,53.92719553424011,55.09316770186335,29.78260869565218,55.5
22400743,2025-02-08,1630243,ORL,30,18.92739656631235,38.34198483450451,50.16906078762739,60.98939929328621,36.90812720848056,55.5
22400756,2025-02-10,1630243,ORL,31,18.912901818074232,38.13156288156288,50.85342218644246,62.835249042145584,35.07662835249042,55.5
22400770,2025-02-12,1630243,ORL,32,18.599412395481764,39.26130548513977,50.52487247473047,62.005141388174806,36.5038560411311,55.5
22400790,2025-02-20,1630243,ORL,33,17.294077134986225,38.60419394733013,51.807590804917005,64.87603305785125,37.70661157024793,55.5
22400798,2025-02-21,1630243,ORL,34,15.497925311203321,36.99570449612308,49.28540426049063,62.738589211618255,37.572614107883815,55.5
22400815,2025-02-23,1630243,ORL,35,16.816479400749063,38.050888060634804,48.69126659856997,62.62172284644195,35.1310861423221,55.5
22400830,2025-02-25,1630243,ORL,36,18.205128205128204,40.87246260683761,49.039468385018125,61.74358974358974,34.30769230769231,55.5
22400845,2025-02-27,1630243,ORL,37,21.81504898610162,40.129831408901175,46.86133272111577,66.09022556390977,33.68421052631579,55.5
22400883,2025-03-04,1630243,ORL,38,17.605727605727605,38.104112554112554,48.904914529914535,64.91452991452991,37.02991452991453,55.5
22400917,2025-03-08,1630243,ORL,39,17.868712702472298,36.71218251044511,50.526783177038936,64.3961352657005,34.033816425120776,55.5
22400934,2025-03-10,1630243,ORL,40,18.148013691525776,36.72278225806452,51.90314818317467,66.07717041800643,33.77813504823151,55.5
22401141,2025-03-13,1630243,ORL,41,17.23076923076923,34.395820714718354,49.265625,68.38461538461539,34.57692307692308,55.5
22400963,2025-03-14,1630243,ORL,42,17.40566037735849,36.971890854243796,46.65893705890825,66.75471698113208,35.05660377358491,55.5
22401045,2025-03-25,1630243,ORL,43,17.05685618729097,35.882412589085,46.71442781356575,66.73076923076923,34.44711538461539,55.5
22401060,2025-03-27,1630243,ORL,44,14.903846153846153,34.4108818011257,46.45864451082898,69.08653846153845,34.56730769230769,55.5
22401074,2025-03-29,1630243,ORL,45,16.21404551732421,34.77730370188471,47.71812131758097,69.8360655737705,33.661202185792355,55.5
22400988,2025-04-01,1630243,ORL,46,16.1914484746577,36.96693647424973,49.37668877425694,69.94565217391305,34.59239130434782,55.5
22401112,2025-04-03,1630243,ORL,47,16.939393939393938,38.10416797373319,48.67187500000001,67.0909090909091,34.303030303030305,55.5
22401156,2025-04-09,1630243,ORL,48,18.2299982374461,36.86218230280383,48.357917695000864,70.07518796992481,32.91353383458646,55.5
22401172,2025-04-11,1630243,ORL,49,19.132095701988177,35.884583809988754,47.89167362851573,69.67901234567901,35.93827160493827,55.5
22400069,2024-10-23,1630245,CHI,0,,,,,,57.2
