gameId,gameDate,homeTeam,homeExpectedMinutesTotal,homeFinishing,homeShooting,homePlaymaking,homeDefense,homeRebounding,homePhysical,isHome_x,awayTeam,awayExpectedMinutesTotal,awayFinishing,awayShooting,awayPlaymaking,awayDefense,awayRebounding,awayPhysical,isHome_y,finishingDiff,shootingDiff,playmakingDiff,defenseDiff,reboundingDiff,physicalDiff,homeScore,awayScore,homePointDiff,homeWin,season
0022400100,2024-10-27,OKC,240.0,42.38064588090211,41.692463546175226,52.480195300543315,71.40557564279155,50.87298553719008,50.01428819444445,True,ATL,196.61666666666665,62.48346542346238,53.791578998454646,53.72408301654566,56.76676448767967,53.697240228465425,46.5716410951937,False,-20.10281954256027,-12.09911545227942,-1.243887716002348,14.638811155111874,-2.8242546912753426,3.442647099250749,128,104,24,1,2024-25
0022400101,2024-10-27,GSW,240.0,53.77718191690262,54.749791029190234,65.13244467241864,66.9797721533517,59.348019972451795,50.41818402777778,True,LAC,252.51666666666665,53.49222019860455,49.510862131815614,54.45989337879912,49.880777310064914,60.40422965289911,55.54080918751238,False,0.2849617182980708,5.23892889737462,10.67255129361952,17.09899484328679,-1.0562096804473171,-5.1226251597346035,104,112,-8,0,2024-25
0022400102,2024-10-28,ORL,234.3111111111111,52.06565114434275,55.99783653441441,56.36990409148659,62.738278024719946,53.62502671752264,68.61270272192716,True,IND,248.63333333333333,60.066553143240675,45.54900687705846,55.32550940409312,53.938351550567944,49.32071200832525,45.71364570764624,False,-8.000901998897923,10.448829657355951,1.0443946873934706,8.799926474152002,4.304314709197385,22.89905701428092,119,115,4,1,2024-25
0022400103,2024-10-28,ATL,211.07777777777775,57.2994308748431,45.03121251650599,52.30700408446979,56.39164484949636,54.61807340323085,47.82815181344422,True,WAS,238.05,49.9240160653119,48.0179171935181,55.43088644542723,40.084753419326134,49.72549444320891,52.15216691171322,False,7.375414809531193,-2.9867046770121135,-3.123882360957438,16.306891430170225,4.892578960021943,-4.324015098269001,119,121,-2,0,2024-25
0022400104,2024-10-28,BOS,229.9055555555555,51.56286907119764,65.9399381476745,61.71837679326206,51.67185951960951,55.59003030869454,55.90502380204432,True,MIL,257.8777777777778,55.56393824779753,55.26956773349376,52.697983127958246,44.248632313022576,53.06802789327416,65.98241414968331,False,-4.001069176599891,10.670370414180738,9.020393665303814,7.423227206586937,2.522002415420374,-10.077390347638989,119,108,11,1,2024-25
0022400105,2024-10-28,MIA,240.0,49.81140740896511,49.86325706553523,64.33021553738375,49.12853030535131,49.89973224315768,48.10353472222222,True,DET,240.00555555555556,51.50515452714007,50.86705954949765,52.34213817829723,42.77678034073285,52.73705580412763,48.67882224948496,False,-1.6937471181749615,-1.0038024839624171,11.988077359086518,6.351749964618463,-2.837323560969949,-0.5752875272627378,106,98,8,1,2024-25
0022400106,2024-10-28,NYK,240.00833333333333,59.089200580322405,51.926716313905914,50.59361475781272,30.75005948527114,50.21267516242288,51.90330544078331,True,CLE,235.61666666666667,62.598389504219114,56.528232011760885,55.24977917153156,64.78535890730346,51.858478810991045,38.82119261512344,False,-3.5091889238967084,-4.601515697854971,-4.656164413718834,-34.035299422032324,-1.6458036485681617,13.082112825659877,104,110,-6,0,2024-25
0022400107,2024-10-28,TOR,257.9472222222222,51.292097428845125,45.29422318654263,47.918603558799134,52.81745660972092,54.93218200257565,55.32166033103241,True,DEN,240.00833333333333,40.74760397023641,46.13415317397346,54.57179922681998,59.34759720352847,56.44956031959675,70.70637825075518,False,10.544493458608713,-0.8399299874308284,-6.653195668020842,-6.530140593807552,-1.5173783170210982,-15.384717919722767,125,127,-2,0,2024-25
0022400108,2024-10-28,MEM,235.76388888888889,58.3255701668554,52.90062781658492,49.83948953935412,54.77530537988391,55.25788421554189,56.207766715758474,True,CHI,242.80277777777775,52.5518493637019,52.99854383543417,51.44576764876161,51.752994753198784,56.24216748443591,54.86325550000572,False,5.773720803153502,-0.09791601884924717,-1.6062781094074907,3.022310626685126,-0.9842832688940177,1.3445112157527532,123,126,-3,0,2024-25
0022400109,2024-10-28,SAS,232.18333333333337,52.62936333627827,51.63570290511853,47.3065566067914,47.35392290574977,57.933604025828984,46.66480870002154,True,HOU,259.26666666666665,44.987813829428184,49.41499486614591,50.33180977215518,55.57449579696883,53.989063350816025,51.80957829776292,False,7.641549506850083,2.2207080389726173,-3.025253165363779,-8.220572891219064,3.9445406750129592,-5.14476959774138,101,106,-5,0,2024-25
0022400110,2024-10-28,DAL,263.9,43.18484922048229,47.84291759273296,57.606503162971904,53.793712942736775,53.59280528358559,53.968700265252,True,UTA,237.25,48.81816181685947,40.57741706322523,41.18479624263221,43.716653494906915,50.9716368106779,45.72273972602739,False,-5.633312596377181,7.265500529507733,16.421706920339695,10.07705944782986,2.6211684729076907,8.245960539224605,110,102,8,1,2024-25
0022400111,2024-10-28,PHX,273.74444444444447,57.570035516340646,59.205294583664504,60.62128150897392,61.48326121758521,45.91287666028379,58.88342939481268,True,LAL,240.00555555555556,56.78614668563009,54.70020255933206,61.23763940814079,53.328841107980885,57.7937012878923,55.384051295108904,False,0.7838888307105591,4.505092024332441,-0.6163578991668643,8.154420109604324,-11.880824627608504,3.499378099703776,109,105,4,1,2024-25
0022400112,2024-10-28,SAC,240.00833333333333,60.97054105616762,57.1164463402655,54.54904727217048,45.44617591403077,46.92459967433729,45.408520537481344,True,POR,240.01111111111112,49.6328675160967,47.23234572921558,48.82530313434325,55.70078540073036,53.60462763672433,54.68674366927457,False,11.337673540070917,9.884100611049917,5.723744137827232,-10.254609486699593,-6.680027962387044,-9.278223131793226,111,98,13,1,2024-25
0022400113,2024-10-29,BKN,215.38333333333335,53.298378825458755,56.31154760932996,47.19723866011594,49.39721915637969,54.234528129501186,36.84810028631123,True,DEN,248.3444444444445,50.03146366239461,46.216786900236094,59.06265389436636,53.34539135185285,61.20043728174177,71.64369155742472,False,3.266915163064148,10.094760709093869,-11.86541523425042,-3.9481721954731555,-6.9659091522405845,-34.79559127111349,139,144,-5,0,2024-25
0022400114,2024-10-29,MIN,260.0055555555556,56.809776727974466,53.946998194031984,51.994193031562894,45.679148781121405,54.64355350031881,57.369507061814915,True,DAL,230.73333333333335,49.50531356578912,47.2784065682611,59.91543362885688,59.46773825636034,57.4087862497909,59.955186362323026,False,7.304463162185343,6.668591625770887,-7.921240597293988,-13.788589475238936,-2.7652327494720907,-2.5856793005081116,114,120,-6,0,2024-25
0022400115,2024-10-29,UTA,236.07777777777775,53.78700222403103,44.543537019649904,50.20769103419348,38.88210100249447,54.25791381074232,49.37219372146656,True,SAC,240.00555555555556,61.204357310974,58.143439095655005,60.18202937147736,48.668320299603195,48.89647534962032,44.9380755075114,False,-7.417355086942969,-13.599902076005101,-9.974338337283882,-9.786219297108723,5.361438461122006,4.434118213955159,96,113,-17,0,2024-25
0022400116,2024-10-29,GSW,236.95,57.84454557261737,50.33455110659421,54.379843215457,65.96003795801666,62.52930825340061,51.962941079927795,True,NOP,276.3888888888889,56.84153186586841,47.50638664579582,54.44915189985012,55.62930864850568,51.93508701401745,40.755608040201,False,1.003013706748959,2.8281644607983907,-0.06930868439312121,10.330729309510978,10.59422123938316,11.207333039726798,124,106,18,1,2024-25
0022400117,2024-10-30,CHA,248.1888888888889,46.287868667340625,49.605147785663384,46.39340973154101,50.444142535171146,60.439189473821585,43.57230603930697,True,TOR,236.70833333333337,51.029965121918,47.86954766686747,49.69817943312332,48.72986734444003,52.208991615087776,49.132173913043474,False,-4.7420964545773785,1.7356001187959151,-3.304769701582309,1.7142751907311151,8.23019785873381,-5.559867873736501,138,133,5,1,2024-25
0022400118,2024-10-30,CLE,236.7125,62.42463738151854,56.53105952265006,55.778740685877224,65.51268201333859,50.50578824159684,39.06322367147207,True,LAL,260.0083333333333,51.59350332885346,52.9966014133419,58.90549051022705,51.48670488018941,54.97827102121218,54.73935771289382,False,10.831134052665078,3.5344581093081615,-3.1267498243498224,14.025977133149183,-4.472482779615341,-15.676134041421747,134,110,24,1,2024-25
0022400119,2024-10-30,IND,249.10972222222225,58.18539893316738,44.917762643903714,53.91021775323492,49.23534236485324,49.57687085512741,45.95503877697802,True,BOS,254.67916666666665,53.20946949302391,63.30628815515066,59.831627489417585,50.3873144182745,54.469191726585066,54.056160528769865,False,4.975929440143467,-18.388525511246947,-5.921409736182667,-1.151972053421261,-4.892320871457656,-8.101121751791844,135,132,3,1,2024-25
0022400120,2024-10-30,PHI,246.56666666666663,53.89566735901133,40.346877149175185,45.3609674683336,48.74787923896543,50.2887011971377,45.159332612320306,True,DET,240.00416666666663,48.5548562900696,49.99196144575726,48.28027355966691,43.51703867379813,53.21785522763128,48.42867484939497,False,5.340811068941726,-9.645084296582077,-2.9193060913333113,5.2308405651672985,-2.929154030493585,-3.2693422370746674,95,105,-10,0,2024-25
0022400121,2024-10-30,WAS,207.9111111111111,49.85157861206492,53.6514092255715,54.02164522339965,39.283905172046595,46.46343329615425,51.25112494655836,True,ATL,205.9,58.8056742820647,48.39842085696972,53.24465653046526,54.13074563297842,54.195954691759155,43.66583292860612,False,-8.95409566999978,5.252988368601777,0.7769886929343954,-14.846840460931823,-7.7325213956049055,7.585292017952241,133,120,13,1,2024-25
0022400122,2024-10-30,MIA,240.0,49.431184143453784,48.44492279411398,64.08939875556163,54.05664548312151,50.99265900471504,48.22162962962963,True,NYK,240.00555555555553,56.35525854477887,48.26384329600553,50.86629774934123,34.92663573542057,50.46668490573242,52.61356218606051,False,-6.924074401325086,0.1810794981084456,13.223101006220404,19.13000974770094,0.5259740989826156,-4.391932556430881,107,116,-9,0,2024-25
0022400123,2024-10-30,CHI,228.71666666666667,50.10780194918444,54.38241374140129,55.47082650005615,49.00986922862014,55.93653811456135,54.781223129053416,True,ORL,242.84166666666667,53.64658560889786,55.50984802805486,56.543239945370864,60.8839376964855,55.66708708935344,70.41487594797708,False,-3.538783659713417,-1.1274342866535747,-1.0724134453147158,-11.874068467865364,0.2694510252079141,-15.633652818923665,102,99,3,1,2024-25
0022400124,2024-10-30,MEM,261.24861111111113,58.24670320469223,49.032440591104205,57.505735047302565,50.97263111956687,53.89606790049261,51.15280198193504,True,BKN,250.97083333333333,52.05833222159726,55.78327867808379,56.66994931334269,40.31854271774335,50.094887159088586,48.00354844243742,False,6.18837098309497,-6.750838086979584,0.8357857339598738,10.654088401823522,3.801180741404025,3.1492535394976215,106,119,-13,0,2024-25
0022400125,2024-10-30,OKC,240.0,48.34731977926919,42.6015713642697,53.3093652007122,73.7548184023507,50.3162137402624,50.20863888888889,True,SAS,234.7888888888889,52.97626479692629,50.80335546812336,47.796331234572584,45.20891771432503,56.2663782386487,46.290248923382705,False,-4.628945017657095,-8.201784103853655,5.513033966139616,28.54590068802566,-5.9501644983863,3.9183899655061865,105,93,12,1,2024-25
0022400126,2024-10-30,GSW,211.7875,51.83121118079435,50.95625633707516,59.805261906423,69.53991891922698,58.29424742928301,54.94310137913396,True,NOP,213.2527777777778,55.67672494808377,52.348544168500815,52.8950608562435,52.25806600460919,55.476071285181725,42.57712743093095,False,-3.8455137672894253,-1.392287831425655,6.910201050179502,17.281852914617787,2.8181761441012867,12.365973948203006,104,89,15,1,2024-25
0022400127,2024-10-30,LAC,248.34444444444443,57.31015962143029,46.56304236977953,49.839624193298,55.660536994390576,55.99650848975941,54.6995928593799,True,POR,240.00833333333333,48.77850305360688,44.42911965412835,45.99614672520809,51.50471084760152,54.07721723479518,54.804267212944,False,8.531656567823404,2.133922715651181,3.843477468089908,4.155826146789053,1.9192912549642287,-0.10467435356409993,105,106,-1,0,2024-25
0022400128,2024-10-31,MEM,231.88055555555556,60.30544807607705,49.28825940966746,51.40332055037115,48.524295739145714,55.29432932624156,45.045075409993174,True,MIL,238.40833333333333,56.00273352288692,54.1062598763412,48.94247759219775,39.83839675306139,53.230612616804734,65.84887448005873,False,4.302714553190128,-4.8180004666737375,2.4608429581734015,8.685898986084325,2.063716709436825,-20.80379907006555,122,99,23,1,2024-25
0022400129,2024-10-31,DAL,231.95,48.09055489096512,49.67321842569947,59.61261781154943,58.66028564435583,53.90319197070131,60.66029496299491,True,HOU,249.85,46.75217242528708,51.68047568539906,47.48655916157719,51.281506751272985,51.9040048160841,51.405338202921754,False,1.3383824656780448,-2.0072572596995926,12.126058649972236,7.3787788930828455,1.9991871546172106,9.254956760073156,102,108,-6,0,2024-25
